,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001K02P014L07_M_11,171,9,26,31
M001K02P014L07_M_12,159,8,34,71
M001K02P014L07_M_13,151,7,26,56
M001K02P014L07_M_14,145,10,11,52
M001K02P014L07_M_15,142,11,43,89
M001K02P014L07_M_16,138,29,146,240
M001K02P014L07_M_17,162,3,30,56
M001K02P014L07_M_18,148,12,25,93
M001K02P014L07_M_19,128,11,33,89
M001K02P014L07_M_20,136,24,137,200
M001K02P014L07_M_21,139,14,66,75
M001K02P014L07_M_22,129,14,49,59
M001K02P014L07_M_23,85,14,66,104
M001K02P014L07_M_24,115,27,78,80
M001K02P014L07_N_01,142,25,40,83
M001K02P014L07_N_02,159,11,24,51
M001K02P014L07_N_03,156,9,34,94
M001K02P014L07_N_04,167,23,118,186
M001K02P014L07_N_05,156,14,64,118
M001K02P014L07_N_06,168,15,44,72
M001K02P014L07_N_07,173,15,54,103
M001K02P014L07_N_08,154,22,16,65
M001K02P014L07_N_09,144,22,45,108
M001K02P014L07_N_10,160,20,43,119
M001K02P014L07_N_11,140,7,72,113
M001K02P014L07_N_12,164,13,31,82
M001K02P014L07_N_13,148,10,35,78
M001K02P014L07_N_14,164,11,45,108
M001K02P014L07_N_15,167,5,55,70
M001K02P014L07_N_16,146,5,34,69
M001K02P014L07_N_17,150,8,39,100
M001K02P014L07_N_18,142,4,21,40
M001K02P014L07_N_19,168,15,76,122
M001K02P014L07_N_20,148,8,30,68
M001K02P014L07_N_21,117,15,54,51
M001K02P014L07_N_22,149,19,23,61
M001K02P014L07_N_23,137,10,11,70
M001K02P014L07_N_24,144,15,29,90
M001K02P014L07_O_01,118,25,8,43
M001K02P014L07_O_02,159,21,37,159
M001K02P014L07_O_03,145,8,141,135
M001K02P014L07_O_04,144,9,38,79
M001K02P014L07_O_05,160,9,21,56
M001K02P014L07_O_06,162,24,38,99
M001K02P014L07_O_07,167,4,36,55
M001K02P014L07_O_08,175,14,9,39
M001K02P014L07_O_09,148,20,114,190
M001K02P014L07_O_10,169,13,12,38
M001K02P014L07_O_11,144,14,133,203
M001K02P014L07_O_12,163,21,72,110
M001K02P014L07_O_13,160,5,42,115
M001K02P014L07_O_14,164,7,60,93
M001K02P014L07_O_15,174,11,48,101
M001K02P014L07_O_16,155,12,79,94
M001K02P014L07_O_17,157,3,20,44
M001K02P014L07_O_18,150,9,40,74
M001K02P014L07_O_19,149,18,35,86
M001K02P014L07_O_20,136,30,19,59
M001K02P014L07_O_21,135,13,20,75
M001K02P014L07_O_22,148,15,45,90
M001K02P014L07_O_23,164,13,44,96
M001K02P014L07_O_24,169,6,25,72
M001K02P014L07_P_01,144,25,26,90
M001K02P014L07_P_02,147,17,51,81
M001K02P014L07_P_03,147,16,67,100
M001K02P014L07_P_04,160,13,42,49
M001K02P014L07_P_05,174,10,39,88
M001K02P014L07_P_06,151,6,46,68
M001K02P014L07_P_07,163,10,21,83
M001K02P014L07_P_08,168,10,67,93
M001K02P014L07_P_09,167,19,48,117
M001K02P014L07_P_10,180,9,28,88
M001K02P014L07_P_11,158,8,58,118
M001K02P014L07_P_12,160,9,26,36
M001K02P014L07_P_13,164,9,24,54
M001K02P014L07_P_14,183,8,73,55
M001K02P014L07_P_15,156,12,13,33
M001K02P014L07_P_16,161,7,32,69
M001K02P014L07_P_17,153,10,15,26
M001K02P014L07_P_18,149,7,24,60
M001K02P014L07_P_19,158,11,41,58
M001K02P014L07_P_20,163,8,28,65
M001K02P014L07_P_21,162,8,45,70
M001K02P014L07_P_22,140,16,21,64
M001K02P014L07_P_23,173,7,43,46
M001K02P014L07_P_24,145,30,19,50
