,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001A03P009L02_K_07,144,18,38,82
M001A03P009L02_K_08,168,36,16,272
M001A03P009L02_K_09,134,21,21,127
M001A03P009L02_K_10,183,13,21,65
M001A03P009L02_K_11,153,27,20,133
M001A03P009L02_K_12,164,17,24,87
M001A03P009L02_K_13,173,9,28,94
M001A03P009L02_K_14,135,20,8,79
M001A03P009L02_K_15,137,20,37,79
M001A03P009L02_K_16,175,29,114,138
M001A03P009L02_K_17,166,12,23,102
M001A03P009L02_K_18,180,16,27,76
M001A03P009L02_K_19,148,18,28,86
M001A03P009L02_K_20,164,14,29,69
M001A03P009L02_K_21,182,15,29,81
M001A03P009L02_K_22,158,7,15,66
M001A03P009L02_K_23,157,7,25,78
M001A03P009L02_K_24,167,24,24,90
M001A03P009L02_L_01,150,39,25,97
M001A03P009L02_L_02,160,21,14,90
M001A03P009L02_L_03,142,40,24,158
M001A03P009L02_L_04,139,13,21,78
M001A03P009L02_L_05,155,14,21,69
M001A03P009L02_L_06,172,13,22,80
M001A03P009L02_L_07,194,11,21,107
M001A03P009L02_L_08,151,19,27,91
M001A03P009L02_L_09,171,14,26,88
M001A03P009L02_L_10,171,26,53,108
M001A03P009L02_L_11,166,14,26,107
M001A03P009L02_L_12,144,18,20,77
M001A03P009L02_L_13,180,11,34,92
M001A03P009L02_L_14,146,30,13,94
M001A03P009L02_L_15,150,17,19,110
M001A03P009L02_L_16,169,13,23,76
M001A03P009L02_L_17,112,22,102,183
M001A03P009L02_L_18,166,17,19,106
M001A03P009L02_L_19,144,16,19,95
M001A03P009L02_L_20,175,24,21,70
M001A03P009L02_L_21,160,13,22,86
M001A03P009L02_L_22,154,15,17,101
M001A03P009L02_L_23,158,14,21,74
M001A03P009L02_L_24,155,14,23,83
M001A03P009L02_M_01,155,41,46,114
M001A03P009L02_M_02,162,14,23,70
M001A03P009L02_M_03,157,22,15,111
M001A03P009L02_M_04,147,17,25,80
M001A03P009L02_M_05,153,19,18,106
M001A03P009L02_M_06,145,24,25,65
M001A03P009L02_M_07,141,20,13,89
M001A03P009L02_M_08,145,19,19,94
M001A03P009L02_M_09,151,12,19,73
M001A03P009L02_M_10,171,20,28,73
M001A03P009L02_M_11,142,14,22,96
M001A03P009L02_M_12,158,16,19,92
M001A03P009L02_M_13,178,19,18,78
M001A03P009L02_M_14,136,24,12,139
M001A03P009L02_M_15,135,25,33,110
M001A03P009L02_M_16,148,28,20,85
M001A03P009L02_M_17,136,27,23,112
M001A03P009L02_M_18,131,15,16,85
M001A03P009L02_M_19,139,25,21,84
M001A03P009L02_M_20,138,21,23,51
M001A03P009L02_M_21,132,43,33,105
M001A03P009L02_M_22,118,30,20,96
M001A03P009L02_M_23,126,25,14,101
M001A03P009L02_M_24,124,14,18,68
M001A03P009L02_N_01,154,18,24,84
M001A03P009L02_N_02,210,15,21,83
M001A03P009L02_N_03,143,31,18,124
M001A03P009L02_N_04,143,29,12,112
M001A03P009L02_N_05,150,20,21,89
M001A03P009L02_N_06,149,22,23,100
M001A03P009L02_N_07,138,24,32,85
M001A03P009L02_N_08,174,15,23,91
M001A03P009L02_N_09,176,32,25,123
M001A03P009L02_N_10,146,17,15,135
M001A03P009L02_N_11,129,39,24,124
M001A03P009L02_N_12,137,21,22,91
M001A03P009L02_N_13,163,17,20,94
M001A03P009L02_N_14,175,22,21,111
M001A03P009L02_N_15,161,19,23,89
M001A03P009L02_N_16,147,17,26,100
M001A03P009L02_N_17,143,18,22,84
M001A03P009L02_N_18,140,42,59,222
M001A03P009L02_N_19,141,14,16,90
M001A03P009L02_N_20,133,26,19,76
M001A03P009L02_N_21,141,33,14,154
M001A03P009L02_N_22,149,20,15,84
M001A03P009L02_N_23,145,33,23,86
M001A03P009L02_N_24,152,22,21,73
M001A03P009L02_O_01,166,18,78,86
M001A03P009L02_O_02,149,20,21,125
M001A03P009L02_O_03,172,17,32,86
M001A03P009L02_O_04,167,25,18,92
M001A03P009L02_O_05,160,18,18,115
M001A03P009L02_O_06,162,14,19,107
M001A03P009L02_O_07,151,15,34,104
M001A03P009L02_O_08,147,17,32,102
M001A03P009L02_O_09,165,19,20,187
M001A03P009L02_O_10,162,42,14,134
M001A03P009L02_O_11,162,14,23,75
M001A03P009L02_O_12,173,20,9,64
M001A03P009L02_O_13,146,41,26,197
M001A03P009L02_O_14,157,16,24,69
M001A03P009L02_O_15,174,20,43,99
M001A03P009L02_O_16,146,21,10,91
M001A03P009L02_O_17,133,17,30,75
M001A03P009L02_O_18,153,14,16,98
M001A03P009L02_O_19,184,22,18,82
M001A03P009L02_O_20,156,17,28,75
M001A03P009L02_O_21,154,30,121,253
M001A03P009L02_O_22,152,24,17,73
M001A03P009L02_O_23,155,26,16,77
M001A03P009L02_O_24,152,25,19,105
M001A03P009L02_P_01,151,13,25,83
M001A03P009L02_P_02,179,17,17,176
M001A03P009L02_P_03,132,10,63,100
M001A03P009L02_P_04,150,11,23,78
M001A03P009L02_P_05,156,32,20,246
M001A03P009L02_P_06,150,10,32,69
M001A03P009L02_P_07,157,13,48,131
M001A03P009L02_P_08,151,16,20,69
M001A03P009L02_P_09,147,31,36,140
M001A03P009L02_P_10,149,14,28,70
M001A03P009L02_P_11,177,14,22,60
M001A03P009L02_P_12,177,19,24,61
M001A03P009L02_P_13,165,12,23,69
M001A03P009L02_P_14,146,24,22,95
M001A03P009L02_P_15,158,13,148,133
M001A03P009L02_P_16,151,13,21,85
M001A03P009L02_P_17,170,18,42,79
M001A03P009L02_P_18,164,8,23,53
M001A03P009L02_P_19,151,13,17,69
M001A03P009L02_P_20,172,19,13,116
M001A03P009L02_P_21,157,13,16,89
M001A03P009L02_P_22,166,9,18,67
M001A03P009L02_P_23,157,18,16,83
M001A03P009L02_P_24,154,18,22,72
