,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D019T01P003L08_K_03,611,23,130,391
D019T01P003L08_K_04,635,16,126,381
D019T01P003L08_K_05,672,24,111,442
D019T01P003L08_K_06,668,17,172,418
D019T01P003L08_K_07,597,17,260,433
D019T01P003L08_K_08,604,30,112,390
D019T01P003L08_K_09,635,25,145,406
D019T01P003L08_K_10,678,20,120,363
D019T01P003L08_K_11,667,19,137,429
D019T01P003L08_K_12,683,31,113,416
D019T01P003L08_K_13,108,20,822,889
D019T01P003L08_K_14,590,44,86,507
D019T01P003L08_K_15,643,24,111,412
D019T01P003L08_K_16,574,41,146,485
D019T01P003L08_K_17,627,17,103,330
D019T01P003L08_K_18,643,16,148,404
D019T01P003L08_K_19,632,31,102,429
D019T01P003L08_K_20,639,21,149,367
D019T01P003L08_K_21,628,18,122,349
D019T01P003L08_K_22,501,9,230,355
D019T01P003L08_K_23,668,15,133,402
D019T01P003L08_K_24,667,35,106,438
D019T01P003L08_L_01,656,41,109,457
D019T01P003L08_L_02,641,45,111,479
D019T01P003L08_L_03,36,4,409,471
D019T01P003L08_L_04,640,23,160,469
D019T01P003L08_L_05,542,34,260,755
D019T01P003L08_L_06,613,33,69,408
D019T01P003L08_L_07,596,24,115,477
D019T01P003L08_L_08,404,19,395,857
D019T01P003L08_L_09,656,29,155,471
D019T01P003L08_L_10,660,15,137,396
D019T01P003L08_L_11,664,39,102,403
D019T01P003L08_L_12,457,10,614,610
D019T01P003L08_L_13,623,37,169,439
D019T01P003L08_L_14,681,18,114,369
D019T01P003L08_L_15,277,19,786,903
D019T01P003L08_L_16,572,52,172,697
D019T01P003L08_L_17,191,9,651,975
D019T01P003L08_L_18,642,36,134,478
D019T01P003L08_L_19,747,16,191,485
D019T01P003L08_L_20,675,24,114,406
D019T01P003L08_L_21,669,25,143,386
D019T01P003L08_L_22,660,21,151,445
D019T01P003L08_L_23,345,38,320,1066
D019T01P003L08_L_24,640,33,138,464
D019T01P003L08_M_01,559,27,329,761
D019T01P003L08_M_02,665,24,142,390
D019T01P003L08_M_03,367,36,314,950
D019T01P003L08_M_04,557,40,101,505
D019T01P003L08_M_05,613,20,125,391
D019T01P003L08_M_06,655,27,130,439
D019T01P003L08_M_07,675,23,138,460
D019T01P003L08_M_08,468,21,358,716
D019T01P003L08_M_09,625,12,114,353
D019T01P003L08_M_10,101,5,464,418
D019T01P003L08_M_11,684,31,121,488
D019T01P003L08_M_12,623,29,111,422
D019T01P003L08_M_13,656,18,140,383
D019T01P003L08_M_14,455,70,275,828
D019T01P003L08_M_15,391,18,611,1020
D019T01P003L08_M_16,263,13,781,808
D019T01P003L08_M_17,617,18,240,586
D019T01P003L08_M_18,656,33,121,387
D019T01P003L08_M_19,692,25,109,451
D019T01P003L08_M_20,260,8,855,757
D019T01P003L08_M_21,635,22,129,480
D019T01P003L08_M_22,650,31,114,405
D019T01P003L08_M_23,214,7,633,676
D019T01P003L08_M_24,634,24,148,403
D019T01P003L08_N_01,527,15,103,301
D019T01P003L08_N_02,689,31,161,412
D019T01P003L08_N_03,523,24,84,305
D019T01P003L08_N_04,685,21,134,451
D019T01P003L08_N_05,446,87,236,991
D019T01P003L08_N_06,706,33,136,516
D019T01P003L08_N_07,375,6,637,847
D019T01P003L08_N_08,675,30,129,463
D019T01P003L08_N_09,632,20,157,476
D019T01P003L08_N_10,674,25,138,419
D019T01P003L08_N_11,667,19,148,427
D019T01P003L08_N_12,678,28,113,458
D019T01P003L08_N_13,654,52,136,586
D019T01P003L08_N_14,636,24,133,430
D019T01P003L08_N_15,422,34,328,1336
D019T01P003L08_N_16,650,30,112,468
D019T01P003L08_N_17,631,23,155,437
D019T01P003L08_N_18,334,27,424,1014
D019T01P003L08_N_19,430,39,342,1053
D019T01P003L08_N_20,432,13,529,883
D019T01P003L08_N_21,631,23,159,422
D019T01P003L08_N_22,639,31,122,515
D019T01P003L08_N_23,642,15,125,382
D019T01P003L08_N_24,588,28,138,405
D019T01P003L08_O_01,635,21,169,494
D019T01P003L08_O_02,511,23,78,242
D019T01P003L08_O_03,196,20,495,862
D019T01P003L08_O_04,648,49,113,466
D019T01P003L08_O_05,634,33,136,390
D019T01P003L08_O_06,639,24,113,440
D019T01P003L08_O_07,600,25,131,450
D019T01P003L08_O_08,609,25,162,426
D019T01P003L08_O_09,591,18,160,527
D019T01P003L08_O_10,647,32,152,488
D019T01P003L08_O_11,672,32,160,460
D019T01P003L08_O_12,690,21,151,444
D019T01P003L08_O_13,680,21,146,470
D019T01P003L08_O_14,685,25,146,471
D019T01P003L08_O_15,90,8,694,851
D019T01P003L08_O_16,457,32,290,796
D019T01P003L08_O_17,212,16,738,786
D019T01P003L08_O_18,641,22,141,430
D019T01P003L08_O_19,486,28,207,796
D019T01P003L08_O_20,680,23,160,520
D019T01P003L08_O_21,677,25,152,468
